abbrev,desc
AFAIK,As Far As I Know
AFK,Away From Keyboard
AKA,Also Known As
AMA,Ask Me Anything
ASAP,As Soon As Possible
ATM,At The Moment
B/C,Because
BC,Because
B4,Before
BAE,Before Anyone Else
BAU,Business As Usual
BBL,Be Back Later
BBS,Be Back Soon
BF,Boyfriend
BFF,Best Friend Forever
BFN,Bye For Now
BRB,Be Right Back
BRT,Be Right There
BTW,By The Way
DAE,Does Anyone Else
DIY,Do It Yourself
DM,Direct Message
FAQ,Frequently Asked Questions
FB,Facebook
FF,Follow Friday
FTFY,Fixed That For You
FTL,For The Loss
FTW,For The Win
FWIW,For What It's Worth
FYEO,For Your Eyes Only
FYI,For Your Information
G2G,Got To Go
GTG,Got To Go
GF,Girlfriend
GG,Good Game
GR8,Great
H/T,Hat Tip
HT,Hat Tip
HAND,Have A Nice Day
HMU,Hit Me Up
HTH,Happy To Help
HTH,Here To Help
HTH,Hope This Helps
IA,Inactive
IC,I see
ICYMI,In Case You Missed It
IKR,"I Know, Right"
ILY,I Love You
IMHO,In My Humble Opinion
IMO,In My Opinion
IOW,In Other Words
IRL,In Real Life
IYKWIM,If You Know What I Mean
JIC,Just In Case
JK,Just Kidding
JSYK,Just So You Know
L8,Late
L8R,Later
LMAO,Laughing My Ass Off
LMK,Let Me Know
LOL,Laughing Out Loud
LTNS,Long Time No See
MBF,Must Be Following
MT,Modified Tweet
MTFBWY,May The Force Be With You
MYOB,Mind Your Own Business
NBD,No Big Deal
NM,Nothing Much
NOYB,None Of Your Business
NP,No Problem
NSFL,Not Safe For Life
NSFW,Not Safe For Work
OH,Overheard
OMG,Oh My God
OMW,On My Way
OP,Original Poster
ORLY,Oh Really
PAW,Parents Are Watching
plz,Please
PM,Private Message
PPL,People
PWN,Own
RL,Real Life
ROFL,Rolling On The Floor Laughing
RT,Re-Tweet
RT,Retweet
SMH,Shaking My Head
SO,Significant Other
TBH,To Be Honest
TBT,Throwback Thursday
TIA,Thanks In Advance
TIL,Today I Learned
TMI,Too Much Information
TTYL,Talk To You Later
TTYS,Talk To You Soon
TY,Thank You
W,With
WYWH,Wish You Were Here
YMMV,Your Mileage May Vary
YOLO,You Only Live Once
